في إطار النزاعات المتعلقة بالتحفيظ العقاري، أصدرت محكمة النقض قرارًا ذا الرقم 3/06، بتاريخ الرابع والعشرين من شهر يناير لعام 2023، يخص العقار ذي الرسم العقاري رقم 2020/8/1/4434.

يُلقي القرار بمسؤولية إثبات الادعاءات على عاتق المتعرض، أي الطرف الذي يعترض على طلب التحفيظ. ولا يتم النظر في حجج طالب التحفيظ إلا إذا قدم المتعرض دليلًا مقبولًا في دعوى الاستحقاق، يثبت أحقيته في العقار المتنازع عليه.

باسم جلالة الملك وطبقا للقانون:

في سياق الإجراءات القانونية المتبعة، أصدرت محكمة النقض حكمها بعدم قبول طلب النقض المرفوع من الطاعن، ورفضه كذلك في مواجهة الدولة (الملك الخاص)، وذلك بناءً على المعطيات التالية:

1.  مقدمات القضية:
    *   تقدم الطاعن بمقال لنقض قرار محكمة الاستئناف بوجدة رقم 50، الصادر بتاريخ 2 فبراير 2017، في الملف رقم 16/1403/144.
    *   تلقى هذا المقال ردًا من المطلوبة الأولى (الطرف الآخر) في 6 أبريل 2021، تضمن طلبًا برفض طلب النقض.
    *   تم الاطلاع على جميع الوثائق والمستندات المقدمة في الملف.
    *   جرى تبليغ أمر التخلي للأطراف المعنية.
    *   أُبلغ الأطراف بتاريخ الجلسة العلنية المنعقدة في 24 يناير 2023.
    *   تمت المناداة على الأطراف ومن يمثلهم، ولكنهم لم يحضروا.
    *   استمعت المحكمة لتقرير المستشار المقرر، السيد امحمد بوزيان، وإلى ملاحظات المحامي العام، السيد الطيب بسكار، التي دعت إلى رفض طلب النقض.

2.  المداولة القانونية:

    *   فيما يخص ورثة (محمد بن . ح. ح) و(حسن. م. بن. ع. ل):
        *   استندت المحكمة إلى الفصل 355 من قانون المسطرة المدنية، الذي يشترط بيان الأسماء العائلية والشخصية وموطن الأطراف الحقيقي في مقال النقض.
        *   تبين للمحكمة أن مقال الطاعن لم يذكر أسماء ورثة (محمد بن. ح. ح)، ولم يحدد الموطن الحقيقي للمطلوب (حسن. م. بن. ع. ل)، مما يجعله مخالفًا للفصل المذكور وغير مقبول شكلاً.
    *   فيما يتعلق بالدولة (الملك الخاص):
        *   بالرجوع إلى مستندات الملف، تبين أن الدولة المغربية (الملك الخاص) وورثة (محمد. بن. ح. ح) تقدموا بطلب لتحفيظ العقار المسمى "الفتح"، الكائن بمدينة وجدة القديمة، بتاريخ 10 نوفمبر 2004، تحت رقم 02/23204.
        *   العقار عبارة عن أرض عارية مساحتها آر واحد و 36 سنتيارا، وقد تم تملكه بموجب أحكام لجنة البحث المنشأة بظهير 27 مارس 1958، التي قضت بمصادرة أملاك (عبد الرحمان. وعبد الحميد. ح).
        *   تقدم على هذا المطلب تعرضان، أحدهما جزئي بتاريخ 24 مايو 2007، من طرف (محمد. ب)، يدعي ملكيته لقطعة أرض مساحتها 42 سنتيارًا، مستندًا إلى عقد شراء من (ر. ل. فاطمة. بنت. م)، ورثة (ك. محمد بن. ع).
        *   أحيل الملف على المحكمة الابتدائية التي قضت بعدم صحة التعرض. ثم أيدت محكمة الاستئناف هذا الحكم.
        *   طعن المتعرض في القرار الاستئنافي بوسيلتين: الأولى تتعلق بانعدام التعليل، والثانية بخرق الفصل 488 من قانون الالتزامات والعقود.
        *   إلا أن المحكمة، وبنظرها في الوسيلتين معًا، أكدت أن عبء إثبات الادعاء يقع على المتعرض، وأن حجج طالب التحفيظ لا يُلتفت إليها إلا إذا قدم المتعرض دليلًا مقبولًا ومطابقًا للعقار المتنازع عليه.
        *   تبين للمحكمة أن عقد الشراء الذي قدمه المتعرض لا يثبت أصل الملك، وأن المادة الثالثة من مدونة الحقوق العينية تنص على أن عقود التفويت لا تفيد الملكية إلا إذا استندت على أصل التملك وحيازة العقار بشروطها القانونية. وأن حجية الأشرية المجردة قاصرة على أطرافها وخلفائهم.
        *   اعتبرت المحكمة أن حجة الطاعن غير كافية لإثبات حقه في العقار، وأن الحكم المستأنف، حين قضى بعدم صحة التعرض، قد طبق القواعد القانونية والفقهية بشكل سليم، وبالتالي لا يوجد أي خرق قانوني.

3.  قرار المحكمة:
    *   بناء على ما سبق، قررت محكمة النقض عدم قبول طلب النقض تجاه ورثة (محمد بن. ح. ح) و(حسن. م. بن. ع. ل)، ورفضه كذلك في مواجهة الدولة (الملك الخاص)، مع تحميل الطاعن مصاريف الدعوى.

صدر هذا القرار وتُلي في الجلسة العلنية بتاريخ 24 يناير 2023، بمحكمة النقض بالرباط، بتشكيلة قضائية برئاسة السيد أحمد دحمان، وعضوية المستشارين امحمد بوزيان، وجواد انهاري، ومحمد أعبوش، وعبد اللطيف وحمان، وبحضور المحامي العام، السيد الطيب بسكار، ومساعدة كاتبة الضبط، السيدة أسماء القوش.
