قرار محكمة النقض

في رحاب القضاء المغربي، وبتأييد من القانون:

بموجب القرار رقم 6، المؤرخ في السادس من يناير عام 2022، والمقيد في الملف المدني رقم 1011/1/10/2021، أصدرت محكمة النقض حكمها في النزاع المتعلق بطلب فتح ممر مغلق، وتشييد مرآب فوقه، وما يترتب على ذلك من آثار قانونية.

موطن النزاع:

يتجلى جوهر الخلاف القضائي في مطالبة المدعي بفتح ممر كان قائماً في السابق، لا في إنشاء حق ارتفاق جديد بالمرور نحو أرض المدعى عليه، وفقاً لما تنص عليه المادة 64 من مدونة الحقوق العينية. وقد أخطأت محكمة الموضوع عندما اعتبرت أن قيام المدعى عليه ببناء مرآب فوق الساقية لا يشكل ضرراً للمدعي، بحجة أن حقل المدعي يتمتع بمنفذ آخر يتمثل في الطريق العمومية الكائنة غرب ملكه، والتي يمكنه أن يسلكها أسوة بباقي الجيران. هذا في حين أن تلك الساقية لا تزال قائمة تحت الأرض، حسب شهادات الشهود. كان لزاماً على المحكمة أن تناقش القضية في ضوء واقعة إغلاق الممر المتنازع عليه نتيجة تشييد المرآب بعد أن كان متاحاً للمدعي، وهو ما لم تفعل. وبالتالي، فإن حكمها مشوب بعيب قصور التعليل.

مسار التقاضي وواقعات القضية:

باسم جلالة الملك، وعملاً بالقانون، أصدرت محكمة النقض قرارها الآتي:

1.  النقض والإحالة:
    *   استناداً إلى طلب النقض الذي تقدم به المدعي بواسطة محاميه الأستاذ (ع.ع) و (ع.ب)، وذلك للطعن في القرار رقم 317 الصادر عن محكمة الاستئناف بالرشيدية بتاريخ 15 أكتوبر 2019 في الملف رقم 438/1201/2018.
    *   وبعد الاطلاع على كافة الأوراق والمستندات المقدمة في الملف.
    *   وبناء على الأمر بالتخلي الصادر بتاريخ 2 ديسمبر 2021، والذي تم تبليغه للأطراف.
    *   وبعد الإعلام بتعيين القضية في الجلسة العلنية بتاريخ 6 يناير 2022.
    *   وبعد المناداة على الأطراف ومن يمثلهم، وعدم حضورهم.
    *   وبعد تلاوة تقرير المستشارة المقررة السيدة حفيظة بن لكصير، والاستماع إلى ملاحظات المحامي العام السيد محمد بوفادي.
    *   وبعد المداولة القانونية.

2.  ملخص الوقائع:
    *   تبين لمحكمة النقض من خلال وثائق الملف والقرار المطعون فيه، أن المدعي (ع.ت) كان قد تقدم بدعوى أمام المحكمة الابتدائية بالرشيدية، أوضح فيها أنه اشترى ثلاثة أرباع فدان، ويحده شرقاً مجرى مائي وغرباً طريق، وجنوباً (م.أ)، وشمالاً مجرى مائي. وأشار إلى أن الفدان المذكور كان يتمتع بساقية وممر يؤديان إلى شارع العلويين، وكان يسلكهما للوصول إلى ملكه، لكن المدعى عليه (ي. م . ع ) قام بتشييد بناء فوق الساقية والممر، مما ألحق به ضرراً.
    *   وطالب المدعي بإزالة البناء المتسبب بالضرر مع غرامة تهديدية قدرها 500 درهم عن كل يوم تأخير في التنفيذ.
    *   وقد دفع المدعى عليه بأن الأرض التي اشتراها محفظة، ولا يوجد عليها أي ارتفاق للغير، وأن الساقية تأتي من ملك المدعي، وأن الضرر المدعى به غير ثابت.
    *   وبعد إجراء خبرة، قضت المحكمة برفض طلب المدعي، فاستأنف هذا الأخير الحكم. وبعد استكمال الإجراءات، أيدت المحكمة الحكم المستأنف بالقرار المطعون فيه.

3.  الطعن بالنقض:
    *   استند الطاعن في طعنه على تحريف الوقائع وسوء التعليل الذي يرقى إلى انعدامه. حيث أن شهود جلسة البحث أكدوا أن هناك طريقاً عمومية قديمة كانوا يسلكونها بمعية الطاعن للوصول إلى حقولهم، وأن المدعى عليه أغلقها. إضافة إلى أن أحد الشهود (م.ش) أكد أن الطاعن ليس له منفذ آخر للوصول إلى الطريق العام، وأن الطريق الأخرى بعيدة وغير آمنة.
    *   وقد استبعدت المحكمة كل هذه الحجج وحرفت تصريحات الشهود، وهو ما يشكل سوء تعليل يوازي الانعدام.

4.  التعليل القانوني لمحكمة النقض:
    *   أكدت المحكمة على أن كل قرار يجب أن يكون معللاً تعليلاً كافياً، وأن سوء التعليل يوازي انعدامه، مما يوجب نقض القرار المطعون فيه.
    *   بينت المحكمة أن النزاع يتعلق بفتح ممر مغلق كان قائماً في السابق، وليس بإنشاء ارتفاق جديد بالمرور وفقاً للمادة 64 من مدونة الحقوق العينية.
    *   وقد تمسك الطاعن في جميع مراحل الدعوى بأن البناء شيد فوق الساقية والممر، وأكد ذلك بشهادات الشهود الذين أقروا بأن الطريق الأخرى بعيدة وغير آمنة.
    *   وقد أخطأت محكمة الموضوع حينما اعتبرت أن قيام المدعى عليه بتشييد مرآب فوق الساقية لا يشكل أي ضرر للمدعي، وأن له طريقاً أخرى، مع أن الأمر كان يقتضي مناقشة الطلب على ضوء إغلاق الممر. وهو ما لم تقم به المحكمة، مما يجعل قرارها مشوباً بسوء التعليل.

القرار النهائي:

*   وبناءً على ما سبق، ونظراً لمقتضيات حسن سير العدالة ومصلحة الأطراف، قضت محكمة النقض بما يلي:
    *   نقض القرار المطعون فيه.
    *   إحالة الدعوى على نفس المحكمة للبت فيها من جديد بهيئة أخرى.
    *   تحميل المطلوب المصاريف.

التوثيق والإشهاد:

*   أمرت المحكمة بإثبات هذا القرار في سجلاتها.
*   وقد صدر هذا القرار وتلي في الجلسة العلنية المنعقدة بمحكمة النقض بالرباط، برئاسة السيد المصطفى مستعيد وعضوية المستشارين: حفيظة بن لكصير (مقررة)، مارية أصواب، بهيجة الإمام ومحمد رمزي، وبحضور المحامي العام السيد محمد بوفادي ومساعدة كاتبة الضبط السيدة فاطمة بلعيدي.
