قرار محكمة النقض رقم: (يتم تحديده لاحقًا)

تاريخ الإصدار: (06 أبريل 2021)
ملف القضية: (2020/1/2/258)
موضوع النزاع: إخلال بإجراءات الاستدعاء وأثره على صحة الحكم الاستئنافي.

الخلاصة:

بعد الاطلاع على حيثيات القضية، تبين للمحكمة أن محكمة الاستئناف قد شابت إجراءاتها عيوب جوهرية، حيث قامت بإلغاء الحكم الابتدائي الصادر لصالح الطاعنة، ثم قضت بعدم قبول دعواها، وذلك دون أن تتثبت من استدعائها وإعلامها بالجلسة المحددة. هذا الإغفال، الذي لم يوثق في ملف القضية، يعد خرقًا صريحًا للمقتضيات القانونية الموجبة لإعلام الأطراف بمواعيد الجلسات، الأمر الذي يستوجب نقض القرار الاستئنافي برمته.

المنطوق:

وباسم جلالة الملك، وتطبيقًا لأحكام القانون، تقرر محكمة النقض ما يلي:

أولًا: نقض القرار الاستئنافي الصادر عن محكمة الاستئناف بالقنيطرة، تحت رقم (351) بتاريخ (2015/05/12)، في الملف رقم (2014/1606/560).

ثانيًا: إحالة القضية إلى المحكمة نفسها لتبت فيها من جديد بهيئة مغايرة، وذلك وفقًا للإجراءات القانونية السليمة.

الأسس والمبررات:

1.  الطعن:
    *   تقدمت الطاعنة (ج.ب)، بواسطة نائبتها الأستاذة (ث.ب)، بمذكرة طعن بالنقض بتاريخ (2020/01/23)، للطعن في القرار الاستئنافي المشار إليه أعلاه.
    *   بالمقابل، قدم المطلوب في النقض، بواسطة نائبه الأستاذ (م.ق)، مذكرة جوابية بتاريخ (2020/11/02) يطلب فيها رفض الطعن.

2.  المسار الإجرائي:
    *   تمت الإشارة إلى القضية في الجلسة العلنية بتاريخ (2021/04/06) بعد استيفاء الإجراءات الشكلية المنصوص عليها في قانون المسطرة المدنية المؤرخ في (28 شتنبر 1974)، من بينها الأمر بالتخلي والإبلاغ الصادر بتاريخ (2021/03/09).
    *  وبعد المناداة على الأطراف، تبين عدم حضورهم أو من يمثلهم.
    *   قام المستشار المقرر السيد نورالدين الحضري بتلاوة تقريره حول القضية، ثم استمعت المحكمة إلى ملاحظات المحامي العام السيد محمد الفلاحي، الذي أيد بدوره نقض القرار المطعون فيه.

3.  وقائع النزاع:
    *   تشير وقائع القضية إلى أن الطاعنة (ج.ب) تقدمت بدعوى أمام المحكمة الابتدائية بسوق الأربعاء (قسم قضاء الأسرة) بتاريخ (2014/01/27)، للمطالبة بنفقة ابنتها (ا) من طليقها.
    *  وقد استندت في دعواها إلى أنها تنازلت سابقًا عن حقوقها وحقوق ابنتها، وأن هذا التنازل لا يمس حقوق الغير، كما طالبت بنفقة شهرية قدرها 1000 درهم وتوسعة الأعياد بـ 5000 درهم سنويًا، اعتبارًا من (2006/10/01).
    *   أصدرت المحكمة الابتدائية حكمًا يقضي بأداء المدعى عليه نفقة قدرها 500 درهم شهريًا وتوسعة الأعياد بـ 1000 درهم سنويًا.
    *   قام المدعى عليه باستئناف الحكم، فقامت محكمة الاستئناف بإلغائه والقضاء بعدم قبول دعوى الطاعنة.

4.  أسباب النقض:
    *  تتمحور أسباب الطعن بالنقض حول الإخلال بالضمانات الإجرائية، حيث تدعي الطاعنة أنها لم تستدعَ لجلسة الاستئناف، ولم تُمكن من تقديم دفوعها ومستنداتها التي تثبت عسرها المالي.
    *   وقد تبين للمحكمة أن هذا الادعاء له ما يبرره، حيث أن محكمة الاستئناف قد تجاوزت مقتضيات الفصل 338 من قانون المسطرة المدنية، الذي يلزم بإعلام الأطراف بموعد الجلسة، وذلك عن طريق تبليغ رسمي وفقًا للفصل 335.
    *   وبما أن محكمة الاستئناف لم تتثبت من هذا الإجراء، فإن قرارها يكون قد شابه خرق مسطري، مما يعرضه للنقض.

التوقيع:

صدر هذا القرار وتُلي في الجلسة العلنية المنعقدة بمحكمة النقض بالرباط، بتاريخ (06 أبريل 2021) بحضور السادة القضاة:
*   الرئيس: محمد بترهة.
*   المستشارون: نورالدين الحضري (مقررًا)، عمر لمين، عبد الغني العيدر، عبد العزيز وحشي.
*   المحامي العام: محمد الفلاحي.
*   كاتبة الضبط: فاطمة أو بهوش.
